#{"t_start": 1768235575.0788367, "env_id": "None"}
r,l,t
-862.1456,200,1.005146
-873.60974,200,1.005146
-855.97546,200,1.005146
-758.0318,200,1.005146
-1592.0132,200,1.252749
-932.95886,200,1.252749
-870.20197,200,1.252749
-1285.4509,200,1.252749
-1261.7107,200,1.501385
-1071.2418,200,1.501385
-1213.9945,200,1.501385
-1696.104,200,1.501385
-763.0829,200,1.750069
-961.0869,200,1.750069
-874.47485,200,1.750069
-1003.0463,200,1.750069
-1334.6669,200,1.998276
-1495.1952,200,1.998276
-1418.4519,200,1.998276
-1784.9103,200,1.998276
-1059.2854,200,2.246895
-964.73206,200,2.246895
-862.27496,200,2.246895
-1180.9755,200,2.246895
-871.7983,200,2.495023
-1358.3594,200,2.495023
-1460.5126,200,2.495023
-1621.2162,200,2.495023
-846.89105,200,2.74316
-960.5194,200,2.74366
-1720.9712,200,2.74366
-926.39465,200,2.74366
-1621.865,200,2.992007
-1093.5186,200,2.992007
-1182.5667,200,2.992007
-1701.8624,200,2.992007
-878.98267,200,3.240125
-1662.3899,200,3.240125
-1318.801,200,3.240125
-906.5262,200,3.240125
-900.92865,200,9.922056
-1163.9993,200,9.922056
-1548.155,200,9.922056
-971.7484,200,9.922056
-1211.2992,200,10.205856
-865.95294,200,10.205856
-1400.8822,200,10.205856
-1272.0558,200,10.205856
-1829.5955,200,10.488095
-1436.6775,200,10.488095
-1695.6442,200,10.488095
-861.93964,200,10.488095
-1288.1317,200,10.771239
-1187.497,200,10.771239
-1390.7472,200,10.771239
-1283.7548,200,10.771239
-1030.4254,200,11.06414
-1620.6166,200,11.06414
-1629.6105,200,11.06414
-1284.009,200,11.06414
-868.0067,200,11.365923
-762.468,200,11.365923
-1711.7837,200,11.365923
-913.4671,200,11.365923
-1591.7306,200,11.665674
-1361.4268,200,11.665674
-1170.4281,200,11.665674
-1069.5902,200,11.665674
-878.5825,200,11.965317
-1542.7632,200,11.965317
-1296.2772,200,11.965317
-1376.0219,200,11.965317
-1104.7072,200,12.265024
-1495.6742,200,12.265024
-976.37756,200,12.265024
-1088.0023,200,12.265024
-1718.9406,200,12.566216
-1104.5197,200,12.566216
-1234.2056,200,12.566216
-1420.0272,200,12.566216
