#{"t_start": 1768227142.6759908, "env_id": "None"}
r,l,t
-1679.2946,200,4.767764
-765.1655,200,12.041899
-1400.4777,200,19.347711
-1423.2705,200,26.696187
-1786.1992,200,33.962599
-1568.3405,200,41.215223
-1318.0675,200,48.427865
-1275.0862,200,55.72809
-1343.788,200,62.991514
-776.76825,200,70.199905
-1019.032,200,77.496053
-1185.9824,200,84.75518
-813.95154,200,92.026339
-906.55145,200,99.299587
-259.35632,200,106.529062
-403.95325,200,113.814423
-1.7422777,200,121.081667
-127.16538,200,128.396514
-125.23802,200,135.652524
-257.47635,200,142.920979
-3.4163346,200,150.256478
-2.7969782,200,157.553921
-129.24913,200,164.773795
-122.2206,200,172.027908
-126.684204,200,179.323909
-128.37451,200,186.601864
-329.83392,200,193.860172
-1.355553,200,201.107819
-118.17785,200,208.402516
-1375.9285,200,215.6929
-115.24546,200,222.93504
-1096.1141,200,230.202571
-126.23572,200,237.465771
-121.06224,200,244.62629
-242.65067,200,251.841949
-230.02094,200,259.043617
-120.96808,200,266.268073
-117.018875,200,273.470742
-124.99197,200,280.817846
-126.0166,200,288.024048
-238.52727,200,295.337157
-118.57292,200,302.719473
-1.4337486,200,310.69869
-120.73846,200,319.167067
-250.9572,200,328.803743
-121.62036,200,337.758139
-124.53818,200,346.468369
-121.34237,200,355.142282
-117.83422,200,363.611421
-127.8374,200,372.352312
-315.3159,200,381.449046
-120.111664,200,390.77234
-119.07561,200,400.663699
-233.75818,200,410.164324
-121.027916,200,419.704022
-1.1691709,200,429.383643
-227.69434,200,439.600075
-231.08295,200,449.35236
-1.8051536,200,458.950784
-124.3835,200,468.429465
-119.9095,200,477.695675
-127.23492,200,486.993369
-232.98465,200,495.761609
-127.23005,200,505.443042
-231.37308,200,514.368232
-125.33582,200,522.84785
-231.80688,200,531.300521
-335.27924,200,539.902292
-115.04669,200,548.713679
-0.3730486,200,557.365307
-227.0393,200,565.867911
-234.99841,200,574.214121
-252.33064,200,582.68724
-120.096535,200,590.972672
-122.3848,200,599.374341
-113.81697,200,607.839881
-121.49822,200,616.293325
-1.209228,200,624.914218
-239.53738,200,633.697839
-113.25224,200,643.395876
-338.8161,200,655.169392
-119.64987,200,666.332562
-125.036385,200,677.466343
-114.50338,200,688.598465
-129.29048,200,699.864643
-266.44705,200,710.963632
-124.30731,200,722.078124
-115.88832,200,733.247127
-125.48496,200,744.497701
-120.63885,200,755.584428
-117.42812,200,766.643734
-348.86035,200,777.695221
-230.53542,200,788.759519
-236.93451,200,799.882905
-124.77219,200,810.975183
-232.28934,200,822.095231
-113.63414,200,833.214892
-0.54550207,200,844.29855
-301.549,200,855.480662
-122.376465,200,866.59878
-120.854385,200,878.618848
-237.11166,200,889.939386
-1.2294722,200,901.16533
-124.44287,200,912.429559
-0.5415263,200,923.679481
-120.42596,200,934.66594
-127.648315,200,945.811467
-122.59182,200,956.921303
-117.65472,200,967.984597
-243.63045,200,979.066745
-0.6934017,200,990.212546
-228.96922,200,1001.325994
-242.05637,200,1012.430513
-120.39258,200,1023.486535
-121.0971,200,1034.495732
-234.56825,200,1045.706367
-120.03807,200,1056.802387
-242.4569,200,1067.897244
-231.80547,200,1079.008332
-126.53676,200,1090.033065
-240.96463,200,1101.592962
-119.041176,200,1112.810529
-228.75623,200,1124.443702
-231.83171,200,1135.864785
-1.2807591,200,1147.108401
-1.1007125,200,1159.575586
-122.02307,200,1172.002696
-126.90814,200,1182.974039
-3.7018776,200,1193.81915
-124.848526,200,1204.881082
-127.1374,200,1215.263296
-234.0518,200,1225.257685
-231.1942,200,1235.283145
-126.1342,200,1245.342242
-330.69342,200,1255.527902
-117.65699,200,1265.655849
-126.90655,200,1275.817374
-118.39327,200,1285.776631
-122.6169,200,1296.95063
-122.09959,200,1308.289786
-125.87928,200,1319.665113
-125.89501,200,1331.016145
-123.96765,200,1342.570705
-118.19783,200,1354.132776
-113.811714,200,1365.629203
-223.81676,200,1377.175067
-0.91266394,200,1388.774144
-125.705635,200,1400.271502
-227.09221,200,1411.723848
-228.77403,200,1423.350939
-230.51558,200,1435.050988
-228.9757,200,1446.600408
-129.17747,200,1458.202027
-119.18458,200,1469.803289
-2.2265217,200,1481.540635
-252.90927,200,1493.064088
-240.4836,200,1504.779589
-2.7723277,200,1516.368459
-120.829506,200,1527.885663
-228.3362,200,1539.495907
-119.29901,200,1551.051501
-235.17915,200,1562.617473
-119.41498,200,1576.243524
-117.75331,200,1588.71343
-123.0748,200,1601.240679
-130.72034,200,1615.605556
-131.32942,200,1629.565085
-114.50563,200,1643.571247
-0.6327083,200,1657.250404
-232.30069,200,1671.747625
-127.00163,200,1686.023345
-227.82912,200,1700.283768
-128.53944,200,1714.536152
-250.52899,200,1728.757629
-124.81335,200,1743.039028
-126.44972,200,1757.299198
-115.37943,200,1771.593576
-119.3219,200,1785.8999
-242.74976,200,1800.23252
-127.89158,200,1814.598332
-116.05977,200,1829.004178
-230.14801,200,1843.323886
-128.44553,200,1858.135181
-117.41303,200,1874.339923
-116.07476,200,1889.969136
-2.724604,200,1905.512372
-129.20761,200,1921.110459
-116.369125,200,1936.754033
-115.25819,200,1952.444364
-114.4973,200,1968.072974
-126.404175,200,1983.646208
-114.311325,200,1998.139895
-2.151257,200,2011.996065
-119.55704,200,2025.927424
-117.74954,200,2039.844217
-330.05353,200,2054.920222
-125.47952,200,2070.426626
-123.892395,200,2085.944971
-317.03473,200,2101.56035
-120.17882,200,2115.134714
-113.770874,200,2128.039895
-233.86356,200,2141.721627
-238.58058,200,2155.404915
-245.13469,200,2168.936146
-128.10756,200,2182.677138
-124.40398,200,2196.21467
-127.32767,200,2209.69058
-126.58209,200,2223.263434
-125.87195,200,2236.777985
-231.85051,200,2249.726488
-124.21738,200,2261.981483
-125.366325,200,2274.316342
-114.86927,200,2286.618994
-275.412,200,2298.913707
-0.25715515,200,2311.194351
-0.36378685,200,2323.474161
-251.10722,200,2335.785832
-357.66797,200,2348.046047
-119.15054,200,2359.683121
-121.646576,200,2370.310151
-118.401726,200,2380.963764
-236.76926,200,2391.554494
-0.37256005,200,2402.160699
-0.9809144,200,2412.796523
-242.29706,200,2423.561659
-228.99579,200,2434.252615
-119.85577,200,2445.338586
-120.49014,200,2456.118262
-123.47654,200,2466.94476
-231.13034,200,2477.268803
-127.58188,200,2486.417554
-223.99205,200,2495.373181
-116.21674,200,2504.370785
-126.04477,200,2513.308963
-235.18393,200,2522.221419
-0.38299435,200,2531.119317
-122.84502,200,2539.836688
-127.26659,200,2548.994087
-230.17126,200,2557.991796
-225.5321,200,2567.099185
-128.18187,200,2575.952109
-225.78925,200,2584.878596
-124.459595,200,2593.842667
-126.61687,200,2602.73513
-244.9254,200,2611.634589
-239.83002,200,2620.583648
-0.39095798,200,2629.532429
-117.07746,200,2638.429174
-118.03377,200,2646.926914
-0.91625136,200,2656.032303
-122.91975,200,2664.988003
-126.2245,200,2674.045067
-2.4698982,200,2682.990218
-349.55853,200,2691.362
-114.65031,200,2699.455417
-117.33261,200,2709.080219
-120.32258,200,2718.806286
-123.10874,200,2727.409195
-117.32233,200,2734.646511
-321.7681,200,2742.010384
-119.070816,200,2749.362365
-115.93862,200,2756.857451
-125.30792,200,2764.197849
-118.22422,200,2771.531164
-121.933014,200,2778.922769
-0.5130626,200,2786.296766
-224.57744,200,2793.748633
-118.540184,200,2801.06691
-1.0917015,200,2808.415069
-228.67593,200,2815.724583
-2.3351278,200,2823.201965
-123.564285,200,2830.585299
-115.84908,200,2838.003836
-225.99171,200,2845.469645
-118.868546,200,2853.189616
-227.44128,200,2861.059588
-230.9245,200,2869.115293
-265.4166,200,2878.519045
-121.07485,200,2887.315211
-0.25023025,200,2896.129931
-123.451385,200,2904.948786
-0.22148678,200,2913.948865
-113.35515,200,2922.790964
-119.31547,200,2931.634821
-118.199036,200,2940.362404
-232.312,200,2949.25131
-225.97774,200,2957.352678
-235.743,200,2964.731512
-248.18527,200,2972.402443
-118.27827,200,2979.300427
-0.48934555,200,2985.194409
-1.2133197,200,2991.097273
-121.61233,200,2996.432853
-0.23324607,200,3002.184636
-0.25964808,200,3007.192566
