#{"t_start": 1768236100.5253232, "env_id": "None"}
r,l,t
-0.5,15,0.006002
-0.8333333,2,0.006002
-0.8333333,2,0.006002
-0.8333333,8,0.006503
-0.8333333,2,0.017646
-0.8333333,4,0.018151
-0.8333333,6,0.018651
-0.8333334,21,0.020158
-0.8333333,2,0.021665
-0.8333334,23,0.023166
-0.8333333,13,0.024163
-0.8333333,14,0.056703
-0.8333333,8,0.086743
-0.8333333,18,0.141781
-0.8333333,16,0.197826
-0.8333334,15,0.249859
-0.8333333,4,0.262882
0.8333334,30,0.364458
-0.8333333,4,0.376467
-0.8333333,4,0.389482
-0.8333333,12,0.423022
-0.8333333,2,0.428021
-0.8333333,10,0.468238
-0.8333333,4,0.482761
-0.8333333,2,0.490265
0.5,30,0.572373
0.3333333,30,0.669614
-0.8333333,5,0.688627
-0.8333333,9,0.719647
-0.8333333,5,0.733164
-0.8333333,2,0.73868
0.8333334,30,0.817282
-0.5,19,0.874957
-0.5,7,0.895992
-0.8333333,6,0.911508
-0.8333333,4,0.922025
-0.8333333,5,0.936551
1.8333334,11,0.977581
-0.8333333,2,0.983581
-0.5,11,1.020616
-0.8333333,13,1.069152
-0.5,17,1.124214
1.8333334,13,1.173751
1.8333334,22,1.247812
-0.8333334,19,1.309847
-0.8333333,3,1.322864
0.6666667,30,1.426439
-0.8333333,5,1.441457
-0.8333333,2,1.450469
-0.5,8,1.478983
1.8333334,12,1.523018
-0.8333333,2,1.529018
-0.8333334,18,1.596071
-0.5,25,1.679243
-0.8333334,7,1.70326
1.8333334,9,1.732287
0.5,30,1.820377
1.8333334,12,1.860923
-0.5,12,1.899957
-0.5,13,1.935988
1.8333334,11,1.974029
-0.8333333,2,1.980028
-0.8333333,4,1.99204
-0.8333333,4,2.00656
-0.5,17,2.063109
-0.8333333,4,2.076623
1.8333334,15,2.130176
-0.8333333,14,2.179224
-0.8333333,9,2.206955
0.3333333,30,2.30784
-0.8333333,2,2.313847
1.8333334,8,2.339366
-0.8333333,2,2.350374
-0.8333333,2,2.357382
-0.8333334,25,2.443965
1.8333334,6,2.464979
-0.8333333,2,2.474992
-0.8333333,6,2.496512
-0.8333333,11,2.533544
-0.8333334,27,2.62574
1.8333334,10,2.66226
0.3333333,30,2.759859
-0.8333333,3,2.77037
0.6666667,30,2.878981
-0.8333333,16,2.932529
-0.8333333,4,2.945041
-0.8333333,2,2.950044
1.8333334,12,2.987579
-0.8333333,4,3.000091
-0.8333333,6,3.016118
1.8333334,13,3.050661
-0.8333333,4,3.061673
1.8333334,10,3.104203
1.8333334,12,3.146236
-0.8333333,3,3.157248
-0.8333333,5,3.174267
-0.5,18,3.232831
1.8333334,13,3.272879
0.5,30,3.372495
-0.8333334,13,3.411536
-0.8333334,27,3.493634
1.8333334,14,3.543568
-0.8333333,2,3.551574
-0.8333333,5,3.567711
-0.8333333,7,3.59473
