#{"t_start": 1768235997.5382318, "env_id": "None"}
r,l,t
-1.23,24,0.619849
0.85,16,0.621352
-1.19,20,0.622349
-1.26,27,0.624349
-1.05,6,0.635042
-1.2,21,0.79981
-1.01,2,0.80431
-1.0699999,8,0.823825
-1.01,2,0.830836
-1.02,3,0.838343
-1.02,3,0.845343
-1.02,3,0.85235
-1.05,6,0.869362
-1.17,18,0.919899
-1.24,25,0.981445
-1.03,4,0.991451
-1.06,7,1.009968
-1.24,25,1.074517
-1.03,4,1.084023
-1.1800001,19,1.130556
-1.05,6,1.147071
-1.27,28,1.215124
-1.02,3,1.22313
-1.0699999,8,1.242143
-1.01,2,1.248152
-1.04,5,1.260159
-1.05,6,1.274165
-1.13,14,1.309685
-1.13,14,1.347217
-1.0699999,8,1.365736
-1.06,7,1.382242
-1.2,21,1.431274
-1.03,4,1.443781
-1.11,12,1.474802
-1.1,11,1.500822
-1.05,6,1.514328
-1.16,17,1.55686
-1.05,6,1.570867
-1.11,12,1.59952
-1.01,2,1.60352
-1.08,9,1.627064
-0.29999998,30,1.700615
0.84000003,17,1.74265
-1.03,4,1.753157
0.94,7,1.772671
-1.04,5,1.784685
-1.05,6,1.798694
-1.13,14,1.833215
0.78999996,22,1.893267
0.94,7,1.910785
-1.04,5,1.922792
-1.16,17,1.964324
-0.29999998,30,2.039535
-1.09,10,2.063052
0.91,10,2.086571
-1.01,2,2.092081
-0.29999998,30,2.166148
-1.01,2,2.170648
-1.03,4,2.180157
-1.04,5,2.193678
-1.0699999,8,2.214195
-1.2,21,2.264231
-1.05,6,2.280247
0.89,12,2.309273
-1.02,3,2.317774
-0.29999998,30,2.389343
-1.03,4,2.398847
-1.16,17,2.44038
0.71000004,30,2.52012
-1.23,24,2.577669
0.87,14,2.612699
-1.12,13,2.64423
0.82,19,2.694271
-1.0699999,8,2.714287
-1.01,2,2.719293
0.83,18,2.768823
-1.03,4,2.779831
-1.19,20,2.828373
0.82,19,2.875411
-1.12,13,2.905931
-1.04,5,2.91995
-1.06,7,2.936961
-1.11,12,2.966104
-1.03,4,2.97561
-1.02,3,2.984621
-1.11,12,3.012645
-1.01,2,3.018145
-1.03,4,3.027652
0.83,18,3.073691
-1.02,3,3.0807
0.85,16,3.121736
-1.02,3,3.129244
-1.01,2,3.136742
-1.08,9,3.159763
0.93,8,3.17877
0.81,20,3.229313
-1.01,2,3.23632
-1.06,7,3.254338
-1.1800001,19,3.302372
0.91,10,3.326895
0.73,28,3.397125
-1.06,7,3.413648
-1.06,7,3.430155
-1.11,12,3.46068
-1.09,10,3.487203
0.81,20,3.537747
0.88,13,3.570772
0.92,9,3.595803
-1.11,12,3.640328
0.82,19,3.711378
-1.01,2,3.718386
-1.0699999,8,3.747996
0.94,7,3.785746
0.87,14,3.838291
0.90000004,11,3.881822
-0.29999998,30,3.985402
-1.1,11,4.028437
0.84000003,17,4.077981
0.77,24,4.162033
-1.21,22,4.237595
0.93,8,4.268122
0.89,12,4.311581
